1,ٱلرَّحِيمِ مَـٰلِكِ,3 - 4, م - م,45,متماثلان,0 - 0
31,يَشْكُرُ لِنَفْسِهِ,12, ر - ل,81,متجانسان,10 -11
31,قَالَ لُقْمَـٰنُ,13, ل - ل,81,متماثلان,1 - 2
31,سَخَّرَ لَكُم,20, ر - ل,81,متجانسان,4 - 5
31,قِيلَ لَهُمُ,21, ل - ل,81,متماثلان,1 - 2
31,إِنَّ ٱللَّهَ هُوَ,26, ه - ه,81,متماثلان,6 - 7
31,بِأَنَّ ٱللَّهَ هُوَ,30, ه - ه,81,متماثلان,2 - 3
31,وَأَنَّ ٱللَّهَ هُوَ,30, ه - ه,81,متماثلان,12 - 13
31,وَيَعْلَمُ مَا,34, م - م,81,متماثلان,7 - 8
2,فِيهِ هُدًى,2,ه - ه,45,متماثلان,0 - 0
2,قِيلَ لَهُمْ,11,ل - ل,45,متماثلان,0 - 0
2,قِيلَ لَهُمْ,13,ل - ل,45,متماثلان,0 - 0
2,لَذَهَبَ بِسَمْعِهِمْ,20,ب - ب,45,متماثلان,0 - 0
2,خَلَقَكُمْ,21,ق - ك,45,متجانسان,0 - 0
2,جَعَلَ لَكُمُ,22,ل - ل,45,متماثلان,0 - 0
2,قَالَ رَبُّكَ,30,ل - ر,46,متجانسان,0 - 0
2,ونقدس لك قال,30,ك - ق,46,متجانسان,0 - 0
2,وَنَحْنُ نُسَبِّحُ,30,ن - ن,46,متماثلان,0 - 0
2,قَالَ إِنِّىٓ أَعْلَمُ مَا,30,م - م,46,متماثلان,0 - 0
2,وَأَعْلَمُ مَا,33,م - م,46,متماثلان,0 - 0
2,حَيْثُ شِئْتُمَا,35,ث - ش,46,متجانسان,0 - 0
2,ءَادَمُ مِن,37,م - م,46,متماثلان,0 - 0
2,إِنَّهُ هُوَ,37,ه - ه,46,متماثلان,0 - 0
2,وَيَسْتَحْيُونَ نِسَآءَكُمْ,49,ن - ن,46,متماثلان,0 - 0
2,مِّنۢ بَعْدِ ذَٰلِكَ,52,د - ذ,46,متجانسان,0 - 0
2,إِنَّهُ هُوَ,54,ه - ه,46,متماثلان,0 - 0
2,لَنْ نُّؤْمِنَ لَكَ,55,ن - ل,46,متجانسان,0 - 0
2,حَيْثُ شِئْتُمْ,58,ث - ش,46,متجانسان,0 - 0
2,قِيلَ لَهُمْ,59,ل - ل,46,متماثلان,0 - 0
2,مِّنۢ بَعْدِ ذَٰلِكَ,64,د - ذ,46,متجانسان,0 - 0
2,مِّنۢ بَعْدِ ذَٰلِكَ,74,د - ذ,46,متجانسان,0 - 0
2,يَعْلَمُ مَا,77,م - م,46,متماثلان,0 - 0
2,ٱلْكِتَـٰبَ بِأَيْدِيهِمْ,79,ب - ب,46,متماثلان,0 - 0
2,إِسْرَٰٓءِيلَ لَا,83,ل - ل,46,متماثلان,0 - 0
2,ٱلزَّكَوٰةَ ثُمَّ,83,ت - ث,46,متجانسان,0 - 0
2,قِيلَ لَهُمْ,91,ل - ل,46,متماثلان,0 - 0
2,بِٱلْبَيِّنَـٰتِ ثُمَّ,92,ت - ث,46,متجانسان,0 - 0
2,ٱلْعَظِيمِ مَا,105-106,م - م,46,متماثلان,0 - 0
2,تَبَيَّنَ لَهُمُ,109,ن - ل,46,متجانسان,0 - 0
2,كَذَٰلِكَ قَالَ,113,ك - ق,46,متجانسان,0 - 0
2,يَحْكُمُ بَيْنَهُمْ,113,م - ب,46,متجانسان,0 - 0
2,أَظْلَمُ مِمَّن,114,م - م,47,متماثلان,0 - 0
2,يَقُولُ لَهُ,117,ل - ل,47,متماثلان,0 - 0
